event_id,name
1519188885061886,"ĐÊM NHẠC GÂY QUỸ TỪ THIỆN : SẺ CHIA YÊU THƯƠNG """
503683439801590,TAS Christmas Bazaar 2015 / Chợ phiên Giáng sinh TAS 2015
189465291389771,ĐÊM VĂN NGHỆ TRI ÂN THẦY CÔ
630508290397731,Vietnam to Cambodia Bike Ride
184997641682726,Chào Tân sinh viên 2013
979805182080949,Workshop may áo dài cách tân buổi 2 của Nghệ thuật cắt may TP Hồ Chí Minh
185119101830875,GIAO LƯU & CHIA SẺ KINH NGHIỆM TRONG GIAO DỊCH TÀU RỜI 2015
116156808747985,DISC - Thuật thấu hiểu lòng người
1723582064530645,[HCM] The first date - QingYuVN offline   Qing's b'day party
420322011496986,Reggae Sunday - 22 Nov @ Saigon Outcast
1654326954816284,Tri ân khách hàng 01/12/2015
631265380347638,Touch Fes 2016
103780789985311,[Workshop] Ăn uống vẹn toàn
1654600748150652,Khai giảng lớp phát âm và luyện nói IELTS - Sonus Level 2
1058521250847143,Họp Mặt Cộng Đồng Người Chuyển Giới 2016 (MTF)
406829072835666,Hội chợ Thương mại Quốc tế Việt Nam
1708577069371002,Giải vô địch sinh viên mở rộng
1539218623005421,Wine Party
122286908135599,NHẬN VÉ XEM HÒA NHẠC BAN NHẠC BRANDT FRAUER BRICH MIỄN PHÍ
1492874717709061,Tour đạp xe Suối Tre + đón Ái (thành viên SGT đạp xe HN - SG)
1681847088719406,Yếu tố cá nhân và gia đình quyết định việc trao quyền ở người phụ nữ
478515825661630,"QUẢN TRỊ NHÂN SỰ: ""NĂM MỚI"," LƯƠNG MỚI - NHẤT CỬ LƯỠNG LỢI"""
529715233844807,Quản Lý Dự Án theo Tiêu Chuẩn Quốc Tế PMBOK®: HỌC ĐỂ LÀM
587786681361995,Liên hoan Ẩm thực Món ngon các nước - Taste of The World
1084051461628235,DreamTrips - Thanh Pho Ho Chi Minh, Ho Chi Minh, Vietnam
1713200985567912,LIÊN HOAN VĂN NGHỆ MỪNG SINH NHẬT CLB TÀI NĂNG SÂN KHẤU
1631223837143296,CLUB FRANCOPHONE DE L’IDECAF  (9ème saison) Nº65 Samedi 12 décembre 2015 14h-17h 4ème vide-greniers de l’Idecaf
171696766513692,XUÂN BIÊN GIỚI - NGHĨA TÌNH ĐẤT ĐỎ
182401922107555,Kích Hoạt Siêu Giác Quan cho Trẻ
1022795431076237,Bicycle Corporation @ The Observatory in Ho Chi Minh, Vietnam
1647685948816343,Terminal & Javana - Live Rock Music @ Saigon Ranger
455637751283813,iziShare GÒ VẤP - Chia sẻ bí quyết nói tiếng Anh tự tin, Thứ 3 hàng tuần
926958700717655,Heart Beat (Saigon) @ 3 YEARS HEART BEAT W. MØRBECK // CODE IS LAW & THE...
795736280537475,Vietnam/Cambodia Cycle
1163434467004393,Book, wine, music & more – book club // @deciBel
1626927544222999,Chút Lạnh - Acoustic Night
524628811027230,"Khóa học ""Kỹ năng kiểm soát số liệu kế toán thuế", LẬP - ĐỌC - PHÂN TÍCH Báo cáo tài chính," Báo cáo quyết toán thuế TNDN"""
963139843743501,Góc Pháp Luật lần 4 - SOẠN THẢO VÀ THƯC HIỆN HỢP ĐỒNG TRONG KINH DOANH THƯƠNG MẠI
614363315369846,Tri Ân Thầy Cô
133798883645899,HỘI CHỢ THƯƠNG MẠI MÙA ĐÔNG 2015
423555677848446,Grokking Meetup #6 - Coding Challenge
136941413335064,[BIG OFFLINE] [HCM] HAPPY ANNI 1000days WITH #DOPE BOY
520820201413981,DreamTrips - Thanh Pho Ho Chi Minh, Ho Chi Minh, Vietnam
686337388133063,Exciting trip to Vietnam and Cambodia!!!!.....
569504093201752,Lễ Kỉ Niệm Ngày Nhà Giáo Việt Nam
1485905395049069,Khóa học: MISSION - A LIFE WITH PURPOSE
551504168321268,"[BAC] - [SE02] - Khai Giảng ""Software Estimation"""
1017664094920484,MADONNA & BRUNO MARS TRIBUTE NIGHT!!!
959475154113973,JUNGLE BIKING CHALLENGE #4
197446043924959,Afterwork UFE Avenir
1004501272934293,NĂNG LƯỢNG NGÀY MỚI LẦN 2 - 300 SUẤT ĂN SÁNG CHO BỆNH NHÂN
491548331013231,M.A.N DEBUT PARTY
2111249605680682,LA GRANDE SOPHIE
1640768362814765,Gặp gỡ chuyên gia phân tích thị trường hàng đầu Janne Muta
1026266517404863,Tổng khai giảng chương trình đào tạo ĐỒ HỌA ĐA TRUYỀN THÔNG
901441069942273,RMIT Saigon Personal Edge Workshops (Dec 2-3)
1489600091342084,Black Friday
1643882742553367,Pur tham gia hội chợ Thái Lan 9-13 tháng 12
1105684389456261,Hội chợ thương mại hàng Thái Lan
1045203018844119,DreamTrips - Thanh Pho Ho Chi Minh, Ho Chi Minh, Vietnam
977812568945998,Họp mặt anh em Tây An
1705848732980878,Hội thảo du học Singapore vừa học vừa thực tập hưởng lương, học bổng 200 triệu
1526600467663466,The Empty Pockets @ Van's Unforgettable in Ho Chi Minh City, Vietnam
764871663617846,THI THỬ TOEIC VÀ TƯ VẤN KỸ NĂNG LÀM BÀI TOEIC MIỄN PHÍ
464495213732121,THÔNG BÁO HỌP MẶT FCV - 2015
538279132989832,LẬP KẾ HOẠCH KINH DOANH VÀ NGÂN SÁCH TRONG BỐI CẢNH HỘI NHẬP
250309228458366,2013/11/09 Từ Thiện: Ở Sóc Bom Bo - Một tấm lòng - Một vòng tay
1647213525551952,CEO TALK: FROM A TRADER TO THE CEO OF HSBC VIETNAM
423717384415158,"Đêm nhạc từ thiện "" Ngày Ấy Đâu Rồi"" Thứ 6 (30/08/13) và Thứ 7 (31/08/13)"
