user_id,attend,maybe,declined
890186034382909,,,942502089120677
752029538242405,147933212231456 496036427268213 1517636418547610 1647507122170549,1483723631934208,608762552594198 455637751283813 795999260515174
10153117895476039,874835075904840,,1632599073621622
10154406916062942,1483723631934208 985219994862772,494764264037412,735077243302720
1696703097232995,,,372325806279445
10156361113195374,,,311755245655422
804662889659911,934528249967335 406829072835666 857622540975972 553707154776476 1059847834033875 983628185032105 411662922360897,1635747950032736 738555442944145 1634227493510358 638266769648820 737090809728395 1658552184361587 1913467532211684 538279132989832 157307111289538 939638432739841 1485905395049069 736325763177454 1708970406004977 874334249323234 519090021584170 890966060986998 1621002981483264,311755245655422 471379523018564
1955897784635284,,,942502089120677
10153407755918882,,192596887742760 398686067005910 528961267266179,736854409753137
875687465863776,1514772282153569,157307111289538,1648052285418189 608762552594198 455637751283813
205696739762748,,,905008766246226
10153795650880701,,,311755245655422
1668701910074118,,,715990218523326
753802131391516,,,905008766246226
468342273372438,,,372325806279445
142323892796487,,,553707154776476
994928273878645,,,1591204524467956
10153081247882294,,,1632599073621622
10207909003461356,,,1632599073621622
10207779440501692,,,1695189700704438
686571051479924,,,1713200985567912
1090119887667405,,,311755245655422
972876526118916,,,1695189700704438
1640149326226338,,,133798883645899
992265667512692,,,494764264037412
10153569030442107,,,735077243302720 1632599073621622 311755245655422 736854409753137
1753295728225472,1632599073621622 311755245655422 414057348785375 736854409753137,1674987226048875,1621257701440717
1525170987804128,,,1633057173615681
1505306663130522,,,825881260800727
10156283053670615,995025613883488,519090021584170,426995257494915
10153101260556721,1632599073621622,,311755245655422
917132371656169,,,1623749834542763
835160759930126,,,942502089120677
10153743171663622,,,1468796560095962
536929896462543,,,1484609308508052
10156322468140694,874835075904840 311755245655422,,922971211103579
1687312391555440,,,914116092001142
1267799806570159,,,1607843346160408
968506846546773,,,623228254478204
1672154059730646,,,905008766246226
845400928912069,,,942502089120677
1722483824641395,,,905008766246226
649634918473369,,,905008766246226
10203728219045719,,,1640326062879659
1485146795125805,,,919883004725577
901401019973564,,,372325806279445
1690895404530321,,,1094343180578474
684330325035437,,,795999260515174
10153693783212412,,,311755245655422 482838738558603
442377982619316,,,455637751283813
10153723465574687,,,1164280260255705
1666903683548942,,,503234193169664
934829876598272,,,892649937474491
873623706088090,,1667371076875337,1557137024539335
1740537222841063,,,311755245655422
10153754758724660,496623987186051,,1632599073621622
979052745488266,,1647507122170549,995025613883488
1218071504874753,,,1097659073578691
918544448232848,1043281959036382,,1560166957556972
853104941453646,,,1560166957556972
913008255454352,,,157307111289538
10201247350423947,1656401337951247,,311755245655422
751084498368329,2147949678679083 587786681361995,,1647507122170549
1524269571225344,,,427770110749644
147745755584084,,,905008766246226
10205450166395567,,,736854409753137
782219885256863,,,403409569850856
1622837637981034,,,905008766246226
1001793563215203,1653481344921139,,311755245655422
1727691880793239,,,372325806279445
918330791590106,,,631265380347638
10153421315638392,,,449208315279813
1500088443626666,,,975449605847497
