event_id,owner,start_time,place_id
874334249323234,164676317201504,2015-12-19T09:00:00+0700,216650281863123
699502706817410,476299252497665,2016-01-09T08:00:00+0700,640408689343119
920834441318402,662755383756583,2015-11-23T00:00:00+0700,549261378478269
1714914705410262,884139108323527,2016-01-14T00:00:00+0700,199166866801468
1115755325103483,134329226691354,2015-11-27T09:00:00+0700,134329226691354
172015596484680,704752382994404,2015-12-24T19:00:00+0700,268387536637911
497474997090416,260180270698080,2015-12-05T09:00:00+0700,260180270698080
830806940365171,123966167614127,2015-12-27T21:00:00+0700,108458769184495
611788072227233,471649602845474,2015-12-31T00:00:00-0800,
1495816200713532,438566496314858,2015-11-28T08:00:00+0700,
287222901477269,1679485405600793,2017-02-01T00:00:00+0700,435850059813954
1623594147896348,1047680721932483,2018-01-01T11:33:00+0700,1047680721932483
1679792062266373,1738319193057937,2015-11-25T00:00:00+0700,692653497426332
543887232441917,508372659342627,2015-12-02T00:00:00+0700,223806474368871
1671070769775735,785796941448543,2015-12-02T19:00:00+0700,785796941448543
165949957093452,179270999091530,2016-01-20T23:00:00+0700,281521298643251
844647615632924,368993543205564,2015-12-04T10:00:00+0700,368993543205564
137344333288686,1065441636813303,2015-11-20T17:00:00+0700,212514632199711
758027511009337,735278049831065,2015-11-17T07:00:00+0700,735278049831065
883542348401279,1503497999896119,2015-11-22T14:30:00+0700,565080926889738
1730971613793176,1493503254278185,2015-11-28T00:00:00+0700,356080287781726
1171526676197953,1527529754230806,2016-01-01T00:00:00+0700,
122319864779198,462467243903767,2015-12-12T18:00:00+0700,108458769184495
1701251846786746,1481119612111750,2015-12-20T09:00:00+0700,1481119612111750
295802357281978,1689077131305372,2015-11-23T00:00:00+0700,383574075120754
1678424979065826,112815562202913,2015-11-28T10:00:00+0700,1610081362581484
1903560073203000,1445350815717897,2015-12-13T16:00:00+0700,143962809064655
922981211110550,110347962389824,2015-12-08T00:00:00+0700,110347962389824
923304757761862,1552407461715840,2015-12-01T19:30:00+0700,586009644814508
573130449507448,864884673626106,2015-11-30T15:00:00+0700,108458769184495
915555705185172,187275621329532,2015-12-03T18:30:00+0700,187275621329532
906260389439210,1668646426726315,2015-12-02T09:00:00+0700,216693141766460
1674987226048875,854901547855807,2015-12-06T18:30:00+0700,442177372528700
834368140009548,733236010153796,2015-11-20T00:00:00+0700,185059021585929
1634811676806312,129617337237545,2015-11-29T08:00:00+0700,108458769184495
910435195709879,108363112585971,2015-12-19T09:00:00+0700,
161856760820431,10205881547457050,2015-11-21T18:00:00+0700,261754867359796
1651077358490304,388201391242267,2015-12-05T08:00:00+0700,104580643217496
778725858916053,297719243598109,2015-11-19T18:00:00+0700,297719243598109
1094343180578474,323455614468282,2015-11-22T13:00:00+0700,248480555347824
290760277789958,115012498662049,2019-10-20T08:00:00+0700,161245647379066
553707154776476,1715424745354660,2015-12-20T07:30:00+0700,544156325612502
812616372150574,144845212220147,2017-04-17T00:00:00-0700,1456445677912747
1640299296249931,123741664367658,2016-04-29T06:00:00+0700,123741664367658
761192977359465,234438349977414,2036-12-31T00:00:00+0700,234438349977414
1695189700704438,788270661301722,2015-11-20T00:00:00+0700,108458769184495
344774822319519,1026634437359930,2020-07-20T08:00:00+0700,108458769184495
1674692909412629,123966167614127,2015-12-11T10:00:00+0700,108458769184495
516654305161658,143962809064655,2015-12-11T20:00:00+0700,143962809064655
505817212923414,171584826186219,2015-11-17T09:00:00+0700,748665778612881
928651557224644,1411777989053700,2015-11-25T18:00:00+0700,536528599732652
865239423567345,1196226603737668,2020-08-16T00:00:00+0700,108458769184495
448681385319878,128245747288027,2015-11-28T17:00:00+0700,359105870910198
1049885751717830,937287386329125,2015-12-15T19:00:00+0700,1436892619887339
453886348128558,1521643784815144,2016-01-04T07:00:00+0700,665508266825547
889333704435896,740377155985468,2017-02-02T00:00:00+0700,740377155985468
148665628826112,611161885649450,2015-12-08T00:00:00+0700,108458769184495
963826993656703,113456572301,2015-11-26T14:30:00+0700,113456572301
863818937066030,991460567564320,2015-12-12T20:00:00+0700,339679246202032
373398742850800,427937367395074,2016-02-23T00:00:00+0700,108458769184495
860589890663853,1660254754225911,2016-02-14T07:00:00+0700,1541790392770949
1632099843710739,1643363465952987,2015-12-02T09:00:00+0700,1643363465952987
1420029494955927,783081078504395,2016-12-13T00:00:00+0700,307650282724420
934165203347159,1541951192762699,2015-12-12T09:00:00+0700,
622805614525410,103256596592,2016-01-03T14:00:00+0700,317670801702352
1633215753600006,537437012956308,2016-01-01T08:00:00+0700,537437012956308
1097525770265879,1644433952483893,2015-12-19T08:00:00+0700,1512448468999389
625905840883347,524674157605582,2015-11-20T22:00:00+0700,524674157605582
766149570092158,997289263647813,2016-12-31T00:00:00+0700,360910860630174
1048580948520263,372285279568424,2015-12-05T19:00:00+0700,1614198688826410
196339154035041,233518100170351,2015-12-23T15:00:00+0700,233518100170351
1617910321803458,789993557776698,2015-11-17T08:00:00+0700,302269166541541
134546073570468,135180599990150,2015-11-27T08:30:00+0700,135180599990150
1519188885061886,1928684497356965,2015-12-06T19:00:00+0700,353688611448871
547834262048687,542476222585987,2015-12-05T15:00:00+0700,275484342592501
1530259643962493,1599161357017494,2015-12-12T08:30:00+0700,213547478720469
503683439801590,134772293203808,2015-12-12T09:00:00+0700,134772293203808
189465291389771,1597614600477445,2015-11-20T18:00:00+0700,1456517937932546
630508290397731,459235325025,2016-03-09T08:00:00+0700,108458769184495
1510017685963283,1527935720796273,2015-11-28T06:30:00+0700,646682278708019
1662150460691759,1505742293059343,2015-11-20T15:00:00+0700,313286588701333
184997641682726,577926842237354,2020-09-07T00:00:00+0700,120815114659379
979805182080949,953753404668482,2015-11-22T08:30:00+0700,365802470158277
185119101830875,10204621719973868,2015-12-05T09:00:00+0700,238813302847655
116156808747985,199187816899402,2015-11-21T14:00:00+0700,199187816899402
1723582064530645,1862431763980969,2015-12-27T14:30:00+0700,248480555347824
721833651225261,1690452494567962,2018-01-31T00:00:00+0700,112039852155607
420322011496986,1554007758185933,2015-11-22T15:00:00+0700,143962809064655
1651991358358984,1671885686425347,2015-11-30T15:00:00+0700,284306214994897
1018082681585838,1653278588291385,2015-11-29T08:30:00+0700,1653278588291385
1654326954816284,1109317269080978,2015-12-01T11:00:00+0700,697501723669552
631265380347638,167747226911483,2016-03-05T08:00:00+0700,134930110023155
103780789985311,500152980033341,2015-12-05T09:00:00+0700,
1654600748150652,258711617660346,2015-11-18T06:00:00+0700,258711617660346
1058521250847143,10208274781086407,2016-01-11T14:30:00+0700,196576370505360
406829072835666,232371336868468,2015-12-02T09:00:00+0700,216123665077401
1708577069371002,1039048762813526,2015-11-26T07:00:00+0700,380365022048905
1539218623005421,1545729262363418,2015-11-28T19:00:00+0700,1545729262363418
122286908135599,372528302901234,2015-11-17T09:00:00+0700,
